periodomes,materialmovido,productivityshoveltype1,productivityshoveltype2
2005-01,13791146.5,3650.1,3816.5
2005-02,11573733.78,3775.6,4100.3
2005-03,14811389.43,3722.3,4184.8
2005-04,14672665.39,4136.7,4326.1
2005-05,16943364.92,4448.3,5203
2005-06,16463176.45,4591.8,4993
2005-07,16727709.69,4435.8,5233.4
2005-08,16808843.5,4564,5234.1
2005-09,16411644.31,4539.4,5381.7
2005-10,15520415.45,4332.4,5271.5
2005-11,16322953.23,4355.8,5572.3
2005-12,17028299.99,3927.3,4331.7
2006-01,16526029.4,3586.3,4829.7
2006-02,15944155.11,3810.4,5097.2
2006-03,18119163.86,3846.9,5345.8
2006-04,17212682.07,3625.5,5419
2006-05,19690294.97,4121.3,5563
2006-06,20480328.44,4480.7,5825.8
2006-07,20251964.04,4481.6,5917.3
2006-08,21815592.06,4320.9,5797.2
2006-09,20993076.11,4604.2,5569.2
2006-10,19398804.32,4389.5,5402.1
2006-11,18351363.98,4116.7,5511.2
2006-12,19624149.39,4071.7,5870.1
2007-01,18320131.31,3511.9,5390.1
2007-02,18380803.1,3918.1,5604.6
2007-03,20648235.26,3719.3,5252.9
2007-04,21076862.24,4167.1,5706.5
2007-05,23109394.45,4167.1,5706.5
2007-06,22572994.33,4570.7,5601.4
2007-07,22957432.66,4165.1,5511.9
2007-08,21265222.53,4165.4,5465.1
2007-09,21426351.14,4158,5652
2007-10,19568758.41,4086.7,5117.3
2007-11,20188735.55,4200.1,5058.3
2007-12,20996545.31,4114.7,4807.1
2008-01,19781480.88,3739.4,4757.1
2008-02,18183436.73,3718.4,5033.2
2008-03,19825506.69,3975.1,4859.5
2008-04,20417467.65,4069.7,5059
2008-05,20206797.89,3909,5340.1
2008-06,21934519.7,3814.3,4918.4
2008-07,21557913.82,3701.6,5104.4
2008-08,23807879.39,4100.6,5250.5
2008-09,22234210.85,3858.3,5389.8
2008-10,23118972.73,3744.2,4962.3
2008-11,13843980.38,4496.8,5070.6
2008-12,17768088.57,3486.6,4381.5
